Gender,Country,treatment,work_interfere,family_history,remote_work,mental_health_consequence,benefits,Age,cluster
0,37,1,1,0,0,1,2,0.626188163366537,1
1,37,0,2,0,0,0,0,1.5741441497319646,1
1,6,0,2,0,0,1,1,-0.050923255465911185,1
1,36,1,1,1,0,2,1,-0.18634553923240083,1
1,37,0,0,0,1,1,2,-0.18634553923240083,1
1,37,0,3,1,0,1,2,0.08449902830057847,1
0,37,1,3,1,1,0,1,0.3553435958335578,1
1,6,0,0,0,1,1,1,0.8970327308995164,1
0,37,1,3,1,0,0,2,1.3032995821989852,1
1,6,0,0,0,0,1,0,-1.269723809364318,1
1,37,1,3,0,1,1,0,-0.18634553923240083,1
1,5,0,0,0,1,1,0,-0.45719010676538013,1
0,37,1,3,1,0,2,2,1.3032995821989852,1
1,37,0,0,1,0,1,0,0.4907658796000474,1
1,6,0,0,0,0,1,0,-0.7280346742983594,1
0,37,1,2,1,0,1,2,-0.45719010676538013,1
1,36,1,3,0,1,0,0,-1.269723809364318,1
1,37,1,3,0,0,0,2,-0.050923255465911185,1
1,37,0,3,1,1,1,2,1.844988717264944,1
1,37,1,3,1,0,0,2,-0.45719010676538013,1
1,37,0,0,0,1,1,1,-0.18634553923240083,1
1,37,1,1,0,1,0,2,1.844988717264944,1
1,37,1,0,0,0,0,0,1.1678772984324957,1
1,37,1,2,1,0,1,2,0.08449902830057847,1
1,37,1,3,1,0,2,2,0.3553435958335578,1
0,37,1,2,1,1,1,2,0.3553435958335578,1
1,37,1,3,0,1,1,0,0.2199213120670681,1
1,36,0,3,0,0,2,1,0.626188163366537,1
1,36,0,0,0,1,2,1,-0.050923255465911185,1
1,37,0,2,1,1,2,1,-0.18634553923240083,-1
1,36,1,3,1,1,0,0,-0.3217678229988905,1
1,37,1,3,1,1,0,2,1.3032995821989852,1
0,37,1,3,0,0,0,2,1.032455014666006,1
1,37,1,2,0,0,1,1,-0.7280346742983594,1
1,6,0,2,0,0,2,1,-0.45719010676538013,1
1,37,1,2,0,1,1,2,0.3553435958335578,1
1,36,1,3,0,0,0,1,-1.1343015255978284,1
1,6,1,3,1,0,0,1,-0.7280346742983594,1
1,24,0,1,0,0,2,1,-1.9468352281967662,-1
1,37,1,3,0,0,1,0,-0.3217678229988905,1
0,37,1,3,1,0,1,2,0.7616104471330267,1
1,6,0,3,0,0,1,1,-0.8634569580648491,1
1,37,1,2,1,0,0,2,-0.3217678229988905,1
1,37,1,1,1,0,0,1,-1.4051460931308077,1
1,37,0,0,0,1,0,0,-0.050923255465911185,1
1,37,1,2,1,0,0,2,-0.7280346742983594,1
1,37,1,3,1,1,1,0,-1.1343015255978284,1
1,6,1,1,1,1,2,0,0.08449902830057847,1
1,37,1,3,1,0,2,2,1.5741441497319646,1
0,27,1,3,0,1,1,0,-0.8634569580648491,1
1,36,0,0,0,0,1,2,-0.7280346742983594,1
1,6,0,3,0,0,1,0,0.3553435958335578,1
1,37,0,3,1,1,2,2,1.032455014666006,1
0,0,1,1,1,1,1,1,-1.269723809364318,-1
1,37,0,3,0,1,0,2,0.4907658796000474,1
1,37,0,2,0,1,0,1,0.2199213120670681,1
1,13,0,0,0,0,0,1,-0.5926123905318698,1
1,6,0,0,0,0,1,0,0.2199213120670681,1
1,37,0,0,0,0,0,0,0.08449902830057847,1
1,37,0,3,1,1,1,1,-0.18634553923240083,1
1,37,1,3,1,1,2,1,-0.050923255465911185,1
1,15,0,0,0,1,1,0,-0.5926123905318698,1
1,37,0,3,1,1,1,2,0.7616104471330267,1
1,36,0,0,0,0,1,2,-1.269723809364318,1
1,6,0,0,0,0,1,1,-0.3217678229988905,1
1,37,0,0,1,0,2,1,0.08449902830057847,1
1,36,1,1,0,0,0,1,0.8970327308995164,1
0,37,1,2,1,1,2,2,0.2199213120670681,1
0,37,1,3,0,0,0,2,-0.45719010676538013,1
1,37,0,0,0,0,1,2,-0.18634553923240083,1
1,37,1,3,0,0,1,1,1.032455014666006,1
0,6,1,3,0,0,0,2,-0.9988792418313387,1
1,37,0,0,0,0,1,0,-0.45719010676538013,1
1,37,0,2,1,0,0,0,-1.1343015255978284,1
1,22,1,3,1,0,1,0,-0.18634553923240083,1
1,37,1,1,0,0,1,1,-0.3217678229988905,1
0,6,1,3,1,0,2,1,-0.8634569580648491,-1
0,37,0,0,0,0,0,2,1.5741441497319646,1
1,37,1,3,1,1,1,2,0.08449902830057847,1
1,37,0,0,0,0,1,2,-0.45719010676538013,1
1,37,0,2,1,0,1,2,0.3553435958335578,1
1,37,1,3,1,1,1,0,0.3553435958335578,1
1,4,1,2,1,0,0,1,-0.5926123905318698,1
1,37,0,0,1,1,0,2,0.2199213120670681,1
1,37,1,3,0,0,0,2,-0.050923255465911185,1
1,37,1,3,0,0,2,2,-1.4051460931308077,1
1,37,1,3,0,0,1,2,-0.5926123905318698,1
1,37,1,2,1,1,1,2,1.7095664334984544,1
1,37,0,0,0,0,0,2,-0.050923255465911185,1
1,36,0,0,0,0,1,0,-0.8634569580648491,1
1,36,0,1,0,1,2,1,-1.5405683768972973,-1
1,6,0,2,0,0,0,2,-0.7280346742983594,1
1,37,1,2,0,1,1,1,-1.9468352281967662,1
1,37,0,0,0,0,2,2,-0.45719010676538013,1
1,37,1,3,1,1,1,0,0.08449902830057847,1
1,37,0,1,0,0,0,2,0.4907658796000474,1
1,6,1,0,0,0,0,2,-0.7280346742983594,1
1,37,0,0,1,0,2,2,-0.7280346742983594,1
1,37,1,2,0,0,2,2,-0.050923255465911185,1
1,36,0,3,1,0,0,1,-0.18634553923240083,1
1,31,1,3,0,0,2,0,-1.8114129444302767,1
1,37,1,3,1,0,0,2,0.08449902830057847,1
1,37,0,2,0,1,0,1,-0.050923255465911185,1
1,37,0,0,0,0,1,0,-0.7280346742983594,1
1,6,1,0,0,0,1,0,-1.1343015255978284,1
1,36,0,0,0,0,2,1,0.8970327308995164,1
1,36,0,0,0,0,1,0,-0.5926123905318698,1
1,37,1,1,0,0,1,2,0.8970327308995164,1
1,37,1,3,1,0,0,0,0.7616104471330267,1
1,36,1,3,0,0,2,1,0.626188163366537,1
1,37,0,0,0,1,2,0,0.3553435958335578,1
1,37,1,2,1,0,0,2,0.626188163366537,1
1,36,0,0,0,0,0,1,-1.1343015255978284,1
1,37,0,3,0,0,2,1,-1.269723809364318,1
1,18,1,2,0,0,2,1,-0.3217678229988905,-1
1,37,0,0,1,0,1,0,-0.050923255465911185,1
1,27,0,2,0,1,1,1,-0.5926123905318698,-1
1,37,0,0,0,0,1,0,0.4907658796000474,1
1,36,1,2,1,0,2,2,0.626188163366537,1
1,37,1,3,1,0,0,0,-0.9988792418313387,1
1,37,1,3,1,0,1,0,-0.7280346742983594,1
1,37,0,1,0,0,2,0,-0.8634569580648491,1
1,37,1,2,0,1,0,1,-0.7280346742983594,1
1,37,1,3,1,0,0,0,-0.9988792418313387,1
1,36,1,3,0,0,0,2,0.4907658796000474,1
0,37,1,3,1,0,2,2,-0.9988792418313387,1
1,37,0,0,0,0,1,2,-0.18634553923240083,1
1,37,0,2,1,0,0,0,-0.8634569580648491,1
0,37,1,3,1,0,1,1,0.08449902830057847,1
1,37,0,0,0,0,0,1,0.2199213120670681,1
1,18,0,3,1,0,2,1,-1.269723809364318,1
1,36,0,2,0,0,0,0,-1.1343015255978284,1
1,36,1,3,0,0,1,2,-0.8634569580648491,1
1,36,1,1,0,0,0,0,-0.18634553923240083,1
1,17,1,0,0,0,2,0,-1.4051460931308077,-1
0,6,1,3,1,0,1,2,0.2199213120670681,1
1,37,0,0,0,0,0,0,-0.18634553923240083,1
0,37,1,1,0,1,1,2,-0.050923255465911185,1
0,37,1,3,0,0,1,2,1.7095664334984544,1
1,22,0,0,0,1,0,1,-0.45719010676538013,1
0,17,0,3,0,0,0,1,-0.8634569580648491,-1
0,36,0,0,0,0,1,0,-0.5926123905318698,1
1,37,1,3,0,0,2,0,1.7095664334984544,1
1,37,1,1,1,1,2,2,1.438721865965475,1
1,36,0,3,0,0,0,0,-1.1343015255978284,1
0,37,1,0,1,0,0,2,0.3553435958335578,1
0,32,1,1,1,1,0,1,0.7616104471330267,-1
1,37,1,3,1,0,0,2,-0.5926123905318698,1
1,29,0,3,0,0,2,1,-0.5926123905318698,1
1,37,1,2,0,0,1,1,0.3553435958335578,1
0,15,0,3,0,0,2,1,-0.050923255465911185,-1
1,20,0,0,1,0,0,1,-0.18634553923240083,-1
0,37,0,0,0,1,0,0,0.3553435958335578,1
1,37,0,2,0,0,1,2,-0.8634569580648491,1
1,36,1,3,1,0,0,0,-0.5926123905318698,1
0,37,1,3,1,0,1,2,-0.7280346742983594,1
0,37,1,3,0,0,0,2,0.2199213120670681,1
1,37,1,1,0,1,0,1,1.1678772984324957,1
1,18,0,3,0,0,2,1,0.626188163366537,1
1,36,1,3,1,1,2,0,-0.050923255465911185,1
1,6,1,3,0,1,1,1,-1.5405683768972973,1
1,37,1,1,0,0,0,1,-0.3217678229988905,1
1,37,0,0,0,0,1,0,-1.1343015255978284,1
1,36,0,3,1,0,2,1,0.626188163366537,1
1,36,1,1,0,1,2,1,-0.8634569580648491,1
0,37,1,3,1,0,2,0,-0.050923255465911185,1
0,37,1,3,0,0,1,2,-0.050923255465911185,1
0,37,1,3,1,1,1,1,-0.7280346742983594,1
1,15,1,1,0,1,1,2,-0.3217678229988905,-1
0,37,1,0,0,0,0,2,-0.45719010676538013,1
1,37,0,2,0,0,1,0,-0.5926123905318698,1
1,37,1,3,0,0,2,1,-0.5926123905318698,1
1,37,0,0,0,0,1,0,-1.269723809364318,1
1,37,0,2,0,1,1,1,-0.050923255465911185,1
1,0,0,3,0,1,2,0,0.2199213120670681,1
1,37,0,0,0,0,0,2,-1.1343015255978284,1
1,36,1,3,0,0,0,1,-0.8634569580648491,1
1,37,1,3,0,0,0,2,0.4907658796000474,1
1,37,1,2,0,1,0,2,1.1678772984324957,1
1,36,1,3,0,0,2,0,0.7616104471330267,1
1,37,0,3,0,1,0,0,0.7616104471330267,1
1,36,0,0,0,0,2,1,-0.9988792418313387,1
1,6,1,1,1,0,0,2,0.626188163366537,1
0,37,1,3,1,0,1,2,0.626188163366537,1
0,6,1,3,1,0,1,2,-0.5926123905318698,1
1,37,1,3,1,0,0,1,0.2199213120670681,1
1,37,1,3,1,0,1,2,0.08449902830057847,1
1,37,0,0,0,1,1,2,-0.7280346742983594,1
1,37,1,3,0,1,2,2,1.032455014666006,1
1,37,1,1,0,0,0,0,-1.5405683768972973,1
1,37,1,3,1,1,0,1,-0.050923255465911185,1
0,37,1,2,1,1,0,2,-0.45719010676538013,1
1,37,1,3,1,1,0,0,-1.269723809364318,1
1,37,1,2,1,1,1,2,-0.18634553923240083,1
1,37,0,3,0,0,1,0,-1.1343015255978284,1
1,6,0,1,0,0,2,1,-0.45719010676538013,1
0,36,1,3,0,0,0,0,-1.269723809364318,1
1,37,0,0,0,1,1,1,1.3032995821989852,1
1,0,1,1,1,0,2,1,-0.9988792418313387,1
0,37,1,2,0,0,0,2,-0.7280346742983594,1
1,6,0,3,0,1,2,1,-0.7280346742983594,1
1,37,1,3,0,1,1,2,-0.3217678229988905,1
1,27,1,2,1,0,0,1,-0.45719010676538013,-1
1,37,1,3,0,1,1,2,1.1678772984324957,1
1,36,1,3,1,1,0,0,-0.050923255465911185,1
0,37,1,1,1,0,0,2,0.626188163366537,1
1,37,0,0,0,1,1,1,-0.050923255465911185,1
1,18,0,3,0,1,1,1,-0.3217678229988905,1
0,37,1,0,1,0,1,2,-1.269723809364318,1
1,36,0,3,0,0,0,1,0.2199213120670681,1
1,37,1,2,0,1,2,2,0.7616104471330267,1
1,8,0,3,0,0,0,1,-0.5926123905318698,1
1,37,1,2,0,0,0,2,-0.5926123905318698,1
1,37,0,3,1,0,0,0,-1.269723809364318,1
1,0,1,3,1,1,0,0,-1.4051460931308077,1
1,28,0,0,0,0,2,1,-0.7280346742983594,1
1,37,1,3,0,0,2,0,-1.9468352281967662,1
1,37,1,3,1,0,2,2,0.3553435958335578,1
1,36,1,3,1,0,0,1,-0.7280346742983594,1
0,37,1,2,1,0,0,2,-0.8634569580648491,1
1,37,0,0,0,0,1,0,-1.9468352281967662,1
0,37,1,3,0,0,1,1,0.7616104471330267,1
0,37,1,2,1,1,0,2,-0.8634569580648491,1
1,34,0,0,0,0,1,1,-0.3217678229988905,1
1,37,0,0,0,0,2,0,0.3553435958335578,1
1,37,1,3,1,0,0,2,1.7095664334984544,1
1,37,0,0,0,0,0,2,-0.050923255465911185,1
1,37,1,0,0,0,1,2,3.1992115549298403,1
0,37,1,3,1,0,1,2,-0.3217678229988905,1
1,37,1,3,1,0,2,2,0.08449902830057847,1
1,37,0,0,0,0,1,2,0.626188163366537,1
0,37,1,3,0,0,1,2,-1.269723809364318,1
0,37,1,3,0,0,1,2,-0.18634553923240083,1
1,37,0,2,0,0,1,2,-0.8634569580648491,1
0,37,1,1,1,1,2,2,-0.5926123905318698,1
0,37,1,2,0,0,1,2,0.626188163366537,1
1,6,1,1,1,0,0,2,-0.8634569580648491,1
1,37,0,3,0,0,0,2,-0.7280346742983594,1
1,6,1,1,0,1,2,0,-0.9988792418313387,-1
1,37,1,2,0,0,1,2,0.3553435958335578,1
1,37,1,0,0,0,0,1,0.4907658796000474,1
1,37,1,3,1,0,2,2,-0.8634569580648491,1
1,37,0,0,0,0,1,2,-0.9988792418313387,1
0,37,1,1,1,0,0,2,-1.4051460931308077,1
1,37,1,2,1,1,1,2,1.1678772984324957,1
1,37,1,3,0,0,2,2,-0.45719010676538013,1
1,37,0,0,0,0,1,2,-0.050923255465911185,1
0,37,1,3,1,0,0,2,-1.1343015255978284,1
1,37,1,2,0,0,0,2,-0.9988792418313387,1
0,37,0,0,0,0,0,2,-0.3217678229988905,1
1,37,1,3,1,0,1,0,-0.9988792418313387,1
1,37,0,0,0,1,0,1,-0.3217678229988905,1
1,15,1,2,1,0,2,1,0.08449902830057847,1
1,6,1,3,1,0,2,2,-0.9988792418313387,1
1,18,1,1,0,0,1,1,1.7095664334984544,1
1,37,0,0,0,0,1,2,1.844988717264944,1
1,36,1,3,0,0,2,0,-0.3217678229988905,1
0,37,0,3,0,0,0,2,-0.45719010676538013,1
0,37,0,3,1,1,2,1,0.08449902830057847,-1
1,37,0,3,0,0,2,0,-0.7280346742983594,1
1,36,0,2,0,1,2,0,0.08449902830057847,-1
0,37,1,3,1,0,1,2,-0.9988792418313387,1
1,37,1,3,1,0,1,0,-1.269723809364318,1
1,37,1,0,1,0,1,0,2.928366987396861,1
1,37,0,3,0,0,0,0,-1.4051460931308077,1
1,2,0,1,0,0,0,0,-0.45719010676538013,-1
1,37,1,3,0,0,1,2,-0.7280346742983594,1
1,36,0,0,0,0,1,1,-0.3217678229988905,1
1,37,1,1,1,0,0,2,-0.8634569580648491,1
0,33,0,3,1,0,1,2,-0.9988792418313387,0
1,37,1,3,0,0,1,1,-0.18634553923240083,1
1,37,1,3,1,0,0,0,0.08449902830057847,1
1,37,1,3,1,0,0,2,0.2199213120670681,1
1,37,1,3,0,1,2,1,0.2199213120670681,1
1,15,1,2,1,1,1,1,0.2199213120670681,1
1,37,1,2,1,1,0,1,-0.8634569580648491,1
1,37,1,2,1,0,1,2,-0.050923255465911185,1
1,37,1,3,1,0,0,0,-0.5926123905318698,1
1,37,1,1,1,0,1,1,0.4907658796000474,1
1,37,1,2,1,0,1,2,-1.5405683768972973,1
1,36,1,3,0,0,2,0,-1.5405683768972973,1
1,37,1,1,1,0,0,2,1.1678772984324957,1
1,37,1,2,1,0,1,2,3.0637892711633508,1
0,37,1,3,0,0,0,2,-0.050923255465911185,1
0,37,1,2,1,0,2,0,-1.5405683768972973,1
1,37,1,0,0,1,0,2,1.7095664334984544,1
0,37,1,2,0,0,2,2,-0.7280346742983594,1
0,37,1,3,1,1,0,0,-0.9988792418313387,1
0,37,1,0,1,0,0,2,-0.8634569580648491,1
1,6,1,0,0,0,1,2,1.1678772984324957,1
1,37,1,2,0,0,1,2,-0.7280346742983594,1
1,37,1,3,1,1,1,2,-0.18634553923240083,1
1,15,1,1,1,1,1,1,-0.9988792418313387,1
1,37,1,3,0,0,2,0,-0.8634569580648491,1
0,37,1,2,1,1,0,2,-0.7280346742983594,1
1,25,0,0,0,0,1,0,1.3032995821989852,1
0,37,1,3,0,0,2,0,-0.9988792418313387,1
0,33,1,2,1,0,0,2,0.08449902830057847,1
0,37,1,2,1,0,0,2,1.032455014666006,1
1,37,0,0,0,0,2,0,-0.18634553923240083,1
1,6,1,1,1,1,1,0,-0.8634569580648491,0
1,37,0,0,0,0,0,2,-0.45719010676538013,1
1,36,0,3,0,0,0,1,0.3553435958335578,1
0,37,0,0,0,0,0,0,-0.050923255465911185,1
1,6,1,3,0,0,0,0,-0.45719010676538013,1
1,37,1,1,1,0,0,2,-0.8634569580648491,1
1,37,1,3,1,0,0,2,-0.5926123905318698,1
1,37,1,3,1,0,0,2,0.3553435958335578,1
1,15,1,3,1,0,0,0,-0.45719010676538013,1
1,37,1,0,1,1,2,2,0.08449902830057847,1
1,4,0,0,0,1,1,0,-1.4051460931308077,1
1,37,1,1,1,1,2,2,0.08449902830057847,1
0,37,1,2,1,0,2,0,-0.18634553923240083,1
1,37,0,0,1,0,1,0,-1.5405683768972973,1
0,37,1,3,0,1,1,0,-0.8634569580648491,1
1,37,0,1,1,0,0,0,-0.3217678229988905,1
0,15,1,3,1,0,1,0,-0.3217678229988905,2
1,12,0,0,0,0,1,1,0.2199213120670681,1
1,37,1,3,1,1,2,1,3.0637892711633508,1
